stamp,joint1_to_base,joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,gripper_controller
4.716,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.728,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.740,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.752,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.764,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.776,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.788,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.800,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.812,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.824,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.836,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.848,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.860,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.872,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.884,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.896,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.908,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.920,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.932,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.944,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.956,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.968,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.980,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.992,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.004,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.016,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.028,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.040,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.052,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.064,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.076,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.088,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.100,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.112,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.124,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.136,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.148,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.160,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.172,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.184,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.196,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.208,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.220,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.232,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.244,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.256,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
5.268,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
